Claim,Claim Count,Issues
against US support for Israel; for Palestinian liberation; against the detention and deportation of Mahmoud Khalil; against President Trump; for democracy,0,"Gaza, Immigration"
against detention and deportation of mahmoud khalil; for palestinian liberation; for the removal of state security forces from university campuses,0,"Gaza, Immigration"
against the detention and deportation of Mahmoud Khalil; for Palestinian liberation; against the presence of ICE on college campuses,0,"Gaza, Immigration"
for Representative Eric Burlinson to hold a town hall,0,
against Musk; against Trump; against DOGE; for democracy; for boycotting Tesla; for causing reduction in Tesla stock value; for veterans,0,Musk/DOGE
against Elon Musk; against President Trump; against DOGE; for democracy; for boycotting Tesla; for causing reduction in Tesla stock value; for veterans,0,Musk/DOGE
for CU Boulder divesting from arms manufacturers; for the designation of CU Boulder as a sanctuary campus; against any cooperation between CU Boulder and ICE; against the detention of Mahmoud Khalil and Leqaa Kordia,0,
against cuts to veterans affairs,0,
against President Trump's layoffs in the U.S. Department of Veterans Affairs; against cuts to veterans benefits; for veterans services,0,Trump
against Musk; against Trump; against DOGE; for democracy; for boycotting Tesla; for causing reduction in Tesla stock value,0,Musk/DOGE
against the killing of Christon DeVante Collins at Dekalb County Jail; against police brutality; for the humane treatment of incarcerated people,0,Racial Justice
Against medicaid cuts,0,Healthcare
against veteran affairs cuts,0,
against the detention and deportation of Mahmoud Khalil; for palestinian liberation; for free speech; in solidarity with immigrants,0,"Gaza, Immigration"
against University of Minnesota cooperating with ICE; for palestinian liberation,0,Gaza
for the release of Mahmoud Khalil; for democracy; for freedom of speech; against President Trump; against ICE,0,Trump
against Trump; against the Trump administration; for democracy,0,Trump
for a contract between the Starbucks Workers United union and Starbucks,0,Workers
for DEI initiatives on college campuses; against President Trump's dismantling of DEI initiatives,0,Trump
against the removal of transgender rights in Iowa; for LGBTQ rights; for trans rights,0,LGBTplus
against potential staff layoffs at the Grossmont Union High School District,0,Workers
against legislation targeting the LGBTQ community; for LGBTQ rights; against Kentucky House Bill 495; against conversion therapy,0,LGBTplus
against Trump; against the Trump administration; for democracy; against cuts to Medicaid; against cuts to Social Security; against cuts to Medicare,0,Healthcare
against Trump; for democracy; agianst Elon Musk; against DOGE,0,Musk/DOGE
against the detention and deportation of mahmoud khalil; against any cooperation between University of Wisconsin-Madison and government authorities; against president trump,0,Immigration
against cuts to Medicaid; against cuts to federal food assistance,0,Healthcare
against CERAWeek convention; against the use of fossil fuels,0,Environment
against the privatization of the US postal service,0,
against East Ohio Regional Hospital not paying current and former employees; against EORH retaliating against employees who voice their concerns,0,
in commemoration of the 60th anniversary of Bloody Sunday,0,
for workers rights; for collective bargaining rights; for workplace safety; for fair wages; for adequate staffing,0,Workers
against immigrant deportations; for reproducitive rights; for women's rights; for LGBTQ rights,0,"Abortion, Immigration, LGBTplus"
against Tennessee Senate Bill 836 and House Bill 793; for immigrant rights; for protecting access to public education; against barriers for immigrant children to attend public schools; against requiring school districts to collect a studentÃÂ¢ÃÂÃÂs immigration status; against allowing schools to charge tuition if students canÃÂ¢ÃÂÃÂt prove they are U.S. citizens or are in the country legally,0,Immigration
against the detention and deportation of Mahmoud Khalil; for freedeom of speech; against security forces on educational campuses; against the Trump adminstration's policies; for palestinian liberation,0,"Gaza, Immigration, Musk/DOGE"
against the arrest and deportation of Mahmoud Khalil; for the rule of law; against ICE; against the erosion of free speech,0,Immigration
for Palestinian liberation; for the University of Oklahoma's divestment from Israel; against the genocide in Gaza,0,Gaza
for immigrant rights; in solidarity with immigrants; in commemoration of Latino Legislative Day; against President Trump's mass deporation of immigrants,0,Immigration
for palestinian liberation; for women's rights,0,"Abortion, Gaza"
against federal worker firings; against the Trump adminstration's policies; against DOGE,0,Workers
for Palestinian liberation; for Ukrainian liberation; against the Trump administration,0,Gaza
"for ensuring that immigrants have access to legal council; for passing the proposed Access to Representation Act (ARA, S141/A270) by New York's state legislature; for passing the proposed Building Up Immigrant Legal Defense Act (BUILD Act, A2689/S4538) by New York's state legislature; for immigrant rights; against deportations",0,Immigration
for the Solutions Not Suspensions Act; for comprehensive sex education in New York schools; for the Fair College Admissions Act,0,
against Vivek Ramaswamy for Ohio governor,0,
against the proposed cosntruction of a new dispensary and truck stop in the Milan Bottoms Preserve and how it will affect eagles and otehr wildlife; against the disruption of wildlife; for environmental protection,0,Environment
for Palestinian liberation; against the local manufacture of arms intended for use by Israel,0,Gaza
against detention and deportation of Mahmoud Khalil; for free speech; for Palestinian liberation; against President Trump,0,"Gaza, Immigration"
for passing legislature that requires e-bikes in New York to have a license plate and be registered at the DMV; against lawless e-bike riding,0,
against cuts to federal spending on diversity equity and inclusion and other programs; against President Trump; against DOGE; against Elon Musk; in solidarity with immigrants,0,"Immigration, Musk/DOGE"
against the war in Ukraine; for freedom in Ukraine,0,
for Rep. Mike Bost accurately representing his constituents; for Mike Bost coming to town hall meetings; for representation; against cuts to Medicaid; against President Trump,0,Healthcare
against HB 793; for immigrant rights,0,Immigration
against cuts to Medicaid; against the Trump administration's deportation policies; against federal layoffs; against tax exemptions for billionaires and large corporations,0,"Healthcare, Immigration"
against cuts to Medicaid; against DOGE; against Elon Musk,0,"Healthcare, Musk/DOGE"
against the detention and deportation of Mahmoud Khalil; for freedeom of speech; against the Trump adminstration's policies; for palestinian liberation,0,"Gaza, Immigration"
for passage of the CURB Act; against abusive protest policing; for free speech,0,
against the Trump administration; for democracy; for Rep. Pete Stauber accuratley representing and communicating with his constituents,0,Trump
against detention and deportation of Mahmoud Khalil; against NYU policies against student protest; against President Trump; for free speech; for Palestinian liberation,0,"Gaza, Immigration"
against the detention of immigrants; against the opening of a local ICE detention facility; for palestinian liberation; against President Trump,0,"Gaza, Immigration"
